2016-Jan-25 01:55:08 INFO  clientLogger:23 - Attempting to connect to 127.0.0.1:3001
@2016-Jan-25 01:55:08 INFO  clientLogger:26 - Connection Established between client and server...
@2016-Jan-25 01:55:08 INFO  clientLogger:40 - Response from server:Hello and welcome!
@2016-Jan-25 10:09:33 INFO  clientLogger:54 - joe: Establishing connection. Please wait ...
@2016-Jan-25 10:09:33 INFO  clientLogger:61 - =#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=
@2016-Jan-25 10:09:33 INFO  clientLogger:63 - WELCOME TO GAME OF THE SURVIVAL OF THE FITTEST
@2016-Jan-25 10:09:33 INFO  clientLogger:65 - =#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=

@2016-Jan-25 10:09:33 INFO  clientLogger:68 - joe: Connected to server: localhost/127.0.0.1
@2016-Jan-25 10:09:33 INFO  clientLogger:70 - joe: Connected to portid: 49220
@2016-Jan-25 10:09:33 INFO  clientLogger:122 - 
49220: Client Started...

@2016-Jan-25 10:09:33 INFO  clientLogger:74 - Client sent to server: join joe 127.0.0.1
@2016-Jan-25 10:09:33 INFO  clientLogger:269 - Player 49220 broadcasted: join joe 127.0.0.1
@2016-Jan-25 10:09:33 INFO  clientLogger:269 - Server sent: startGame 2 Players 7 rounds
@2016-Jan-25 10:09:33 INFO  clientLogger:141 - Message from the server: WAITING FOR MORE PLAYERS
@2016-Jan-25 10:09:42 INFO  clientLogger:54 - fred: Establishing connection. Please wait ...
@2016-Jan-25 10:09:42 INFO  clientLogger:61 - =#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=
@2016-Jan-25 10:09:42 INFO  clientLogger:63 - WELCOME TO GAME OF THE SURVIVAL OF THE FITTEST
@2016-Jan-25 10:09:42 INFO  clientLogger:65 - =#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=

@2016-Jan-25 10:09:42 INFO  clientLogger:68 - fred: Connected to server: localhost/127.0.0.1
@2016-Jan-25 10:09:42 INFO  clientLogger:70 - fred: Connected to portid: 49221
@2016-Jan-25 10:09:42 INFO  clientLogger:122 - 
49221: Client Started...

@2016-Jan-25 10:09:42 INFO  clientLogger:74 - Client sent to server: join fred 127.0.0.1
@2016-Jan-25 10:09:42 INFO  clientLogger:269 - Player 49221 broadcasted: join fred 127.0.0.1
@2016-Jan-25 10:09:42 INFO  clientLogger:214 - Message from server: List of players In the Game you can attack: [ joe fred  ]
@2016-Jan-25 10:09:42 INFO  clientLogger:269 - Player 49221 broadcasted: join fred 127.0.0.1
@2016-Jan-25 10:09:42 INFO  clientLogger:133 - Message from the server: GAME READY
@2016-Jan-25 10:09:42 INFO  clientLogger:269 - Server sent: startGame 2 Players 7 rounds
@2016-Jan-25 10:09:42 INFO  clientLogger:214 - Message from server: List of players In the Game you can attack: [ joe fred  ]
@2016-Jan-25 10:09:42 INFO  clientLogger:133 - Message from the server: GAME READY
@2016-Jan-25 10:10:16 INFO  clientLogger:137 - client sends this info to the server: select fred joe thrust 1 duck 3
@2016-Jan-25 10:10:16 INFO  clientLogger:269 - Player 49221 broadcasted: select fred joe thrust 1 duck 3
@2016-Jan-25 10:10:16 INFO  clientLogger:149 - Message from the server: WAITING FOR OTHER PLAYERS SELECT MESSAGES
@2016-Jan-25 10:10:16 INFO  clientLogger:269 - 
@2016-Jan-25 10:10:32 INFO  clientLogger:137 - client sends this info to the server: select joe fred thrust 1 dodge 3
@2016-Jan-25 10:10:32 INFO  clientLogger:269 - Player 49221 broadcasted: select fred joe thrust 1 duck 3
@2016-Jan-25 10:10:32 INFO  clientLogger:269 - 
@2016-Jan-25 10:10:32 INFO  clientLogger:269 - Player 49220 broadcasted: select joe fred thrust 1 dodge 3
@2016-Jan-25 10:10:32 INFO  clientLogger:269 - Player 49220 broadcasted: select joe fred thrust 1 dodge 3
@2016-Jan-25 10:10:32 INFO  clientLogger:269 - 
@2016-Jan-25 10:10:32 INFO  clientLogger:157 - Message from the server: RESOLVE ROLL
@2016-Jan-25 10:10:32 INFO  clientLogger:157 - Message from the server: RESOLVE ROLL
@2016-Jan-25 10:10:40 INFO  clientLogger:167 - Client sends this message to the server: roll fred 1
@2016-Jan-25 10:10:40 INFO  clientLogger:269 - Player 49221 broadcasted: roll fred 1
@2016-Jan-25 10:10:40 INFO  clientLogger:231 - Message from server: Wait to receive rolls and process it from other players
